,,,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,"2010, preliminary",1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,"2010, preliminary",Income rank,,,
Virginia ,VA,51,"8,950","10,107","11,227","12,095","12,993","14,298","15,284","16,188","17,191","18,442","19,614","20,312","20,953","21,842","22,596","23,534","24,360","25,354","26,695","28,199","29,617","31,640",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"44,762","21,250","21,670","22,096","22,559","23,234","24,636","25,500","26,365","27,035","27,891","28,429","28,154","28,029","28,383","28,732","29,320","29,692","30,246","31,261","32,711","33,811","35,243",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"40,284",17,11,12,7
Washington ,WA,53,"9,847","10,810","11,834","12,435","13,144","13,972","14,619","15,422","16,090","17,055","18,405","19,637","20,583","21,581","22,139","22,981","23,778","25,280","26,749","28,821","30,521","32,407",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"43,564","23,380","23,177","23,291","23,193","23,504","24,074","24,390","25,118","25,303","25,794","26,676","27,218","27,534","28,044","28,151","28,631","28,983","30,158","31,324","33,432","34,843","36,097",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"39,206",11,16,11,10
West Virginia ,WV,54,"7,373","8,066","8,767","9,340","9,575","10,355","10,851","11,212","11,619","12,532","13,398","14,436","15,086","16,081","16,549","17,269","17,817","18,567","19,373","20,472","21,049","22,174",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"32,641","17,506","17,294","17,254","17,420","17,122","17,842","18,104","18,261","18,272","18,953","19,419","20,009","20,181","20,897","21,043","21,515","21,717","22,149","22,686","23,747","24,030","24,699",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"29,375",44,48,49,47
Wisconsin ,WI,55,"9,197","10,085","10,973","11,573","12,026","13,112","13,719","14,424","15,182","15,953","17,192","17,986","18,494","19,674","20,398","21,550","22,387","23,509","24,777","26,619","27,652","29,139",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"38,432","21,836","21,623","21,596","21,585","21,505","22,592","22,889","23,492","23,875","24,127","24,918","24,930","24,739","25,566","25,937","26,849","27,288","28,045","29,015","30,878","31,568","32,457",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"34,587",19,23,20,27
Wyoming ,WY,56,"10,515","11,668","12,808","13,349","12,703","13,416","14,137","14,244","14,287","14,821","16,382","17,910","18,589","19,344","20,065","20,741","21,358","22,233","23,774","25,496","27,192","29,281",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"47,851","24,966","25,017","25,208","24,898","22,715","23,116","23,586","23,199","22,468","22,415","23,744","24,824","24,867","25,137","25,514","25,841","26,033","26,523","27,840","29,575","31,043","32,615",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"43,064",6,25,19,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYMBOL:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA Not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTNOTE:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1 Constant dollar estimates are computed by the U.S. Census Bureau using the national implicit price deflator for personal consumption expenditures from the Bureau of Economic Analysis. Any regional differences in the rate of inflation are not reflected in these constant dollar estimates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Except as noted, U.S. Bureau of Economic Analysis, Survey of Current Business, April 2011, and unpublished data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For more information:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.bea.gov/regional/spi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet release date: 9/30/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
