,,,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,"2010, preliminary",1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,"2010, preliminary",Income rank,,,
Florida ,FL,12,"8,731","9,921","11,101","11,682","12,640","13,718","14,643","15,391","16,193","17,291","18,734","19,437","19,776","20,474","21,197","21,919","23,014","24,050","24,919","26,453","27,329","29,080",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"39,272","20,730","21,271","21,848","21,789","22,603","23,636","24,430","25,067","25,465","26,151","27,153","26,941","26,454","26,606","26,953","27,308","28,052","28,690","29,181","30,685","31,199","32,391",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"35,343",23,17,21,24
Georgia ,GA,13,"7,656","8,408","9,393","10,041","10,857","12,148","13,052","13,917","14,679","15,721","16,658","17,563","18,110","19,139","19,866","20,945","22,023","23,340","24,287","25,680","26,772","28,531",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"35,490","18,178","18,027","18,487","18,728","19,414","20,931","21,776","22,666","23,084","23,776","24,144","24,343","24,226","24,871","25,261","26,095","26,844","27,843","28,441","29,789","30,563","31,780",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"31,939",38,29,26,37
Hawaii ,HI,15,"10,098","11,394","12,235","12,780","13,883","14,909","15,591","16,288","17,118","18,496","20,285","21,818","22,763","24,014","24,566","24,847","25,160","25,253","25,892","26,546","27,467","29,071",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"41,021","23,975","24,429","24,080","23,837","24,825","25,688","26,012","26,528","26,920","27,973","29,401","30,241","30,450","31,206","31,237","30,956","30,668","30,125","30,320","30,793","31,356","32,381",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"36,917",7,7,22,17
Idaho ,ID,16,"7,796","8,637","9,378","9,622","10,331","10,988","11,497","11,774","12,428","13,437","14,632","15,603","16,015","17,063","18,110","18,865","19,665","20,525","20,961","22,234","23,269","24,683",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"32,257","18,510","18,518","18,457","17,946","18,474","18,932","19,181","19,176","19,544","20,322","21,208","21,627","21,423","22,173","23,028","23,503","23,970","24,485","24,546","25,791","26,564","27,494",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"29,030",35,42,41,49
Illinois ,IL,17,"10,140","10,980","12,150","12,868","13,420","14,760","15,524","16,304","17,236","18,551","19,672","20,835","21,148","22,553","23,068","24,181","25,382","26,806","28,130","29,746","30,619","32,636",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"43,159","24,075","23,542","23,913","24,001","23,997","25,432","25,900","26,554","27,105","28,056","28,513","28,879","28,290","29,307","29,333","30,126","30,938","31,978","32,941","34,505","34,955","36,352",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"38,841",10,10,9,11
Indiana ,IN,18,"8,726","9,353","10,287","10,673","11,184","12,402","13,065","13,739","14,522","15,424","16,668","17,454","17,865","19,099","19,885","20,973","21,644","22,655","23,607","25,169","25,899","27,460",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"34,943","20,718","20,053","20,246","19,907","19,999","21,369","21,798","22,377","22,837","23,327","24,159","24,192","23,898","24,819","25,285","26,130","26,382","27,026","27,644","29,196","29,566","30,587",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"31,447",30,30,32,41
Iowa ,IA,19,"8,994","9,573","10,840","11,236","11,529","12,815","13,370","13,993","14,786","15,206","16,484","17,350","17,700","18,789","18,700","20,367","21,006","22,787","23,747","24,898","25,539","27,293",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"38,281","21,354","20,525","21,334","20,957","20,616","22,080","22,306","22,790","23,252","22,997","23,892","24,048","23,677","24,416","23,778","25,375","25,604","27,184","27,808","28,882","29,155","30,401",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"34,451",27,31,33,28
Kansas ,KS,20,"9,119","9,939","11,197","12,056","12,475","13,629","14,312","14,957","15,567","16,207","17,008","18,034","18,605","19,710","20,371","21,235","21,870","23,255","24,504","26,032","26,826","28,477",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"39,737","21,651","21,310","22,037","22,486","22,307","23,483","23,878","24,360","24,481","24,511","24,651","24,996","24,888","25,613","25,903","26,456","26,657","27,742","28,695","30,197","30,625","31,720",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"35,761",22,22,28,21
Kentucky ,KY,21,"7,603","8,113","8,992","9,552","9,861","11,035","11,503","11,819","12,485","13,553","14,530","15,360","16,142","17,150","17,554","18,308","18,978","19,982","21,021","22,244","23,032","24,786",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"33,348","18,052","17,395","17,697","17,816","17,633","19,013","19,191","19,249","19,634","20,497","21,060","21,290","21,593","22,286","22,321","22,809","23,132","23,837","24,616","25,803","26,293","27,608",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"30,012",43,43,40,44
Louisiana ,LA,22,"7,744","8,767","9,991","10,561","10,871","11,595","12,024","11,998","12,219","13,029","13,963","15,171","15,931","16,857","17,559","18,641","19,367","20,155","21,088","22,119","22,458","23,570",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"38,446","18,386","18,797","19,663","19,698","19,439","19,978","20,061","19,541","19,216","19,705","20,238","21,028","21,311","21,905","22,327","23,224","23,606","24,044","24,695","25,658","25,638","26,254",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"34,600",34,45,45,26
Maine ,ME,23,"7,412","8,333","9,164","9,901","10,548","11,628","12,462","13,406","14,434","15,593","16,683","17,211","17,457","18,214","18,690","19,552","20,372","21,507","22,566","24,171","25,151","26,696",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"37,300","17,598","17,866","18,036","18,467","18,862","20,035","20,791","21,834","22,699","23,583","24,180","23,855","23,352","23,669","23,766","24,359","24,831","25,657","26,425","28,038","28,712","29,736",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"33,568",39,33,34,29
Maryland ,MD,24,"9,971","11,164","12,335","13,334","14,281","15,701","16,935","17,932","19,067","20,468","21,733","22,681","23,282","24,112","24,805","25,780","26,618","27,689","29,000","30,742","32,216","34,681",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"49,025","23,674","23,936","24,277","24,870","25,537","27,053","28,254","29,206","29,985","30,955","31,500","31,437","31,144","31,333","31,541","32,119","32,445","33,032","33,960","35,661","36,778","38,630",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"44,120",8,5,4,4
Massachusetts ,MA,25,"9,371","10,570","11,744","12,892","13,942","15,639","16,798","18,003","19,397","21,127","22,095","22,797","23,314","24,422","25,182","26,393","27,662","29,279","30,911","33,006","34,671","38,210",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"51,552","22,249","22,662","23,114","24,046","24,931","26,946","28,026","29,321","30,504","31,952","32,025","31,598","31,187","31,736","32,021","32,882","33,717","34,928","36,198","38,287","39,581","42,561",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"46,394",14,4,3,2
Michigan ,MI,26,"9,629","10,291","11,075","11,522","12,284","13,588","14,685","15,520","15,964","16,894","18,072","18,719","19,129","20,179","21,046","22,593","23,428","24,279","25,349","26,903","27,858","29,392",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"35,597","22,862","22,064","21,797","21,490","21,966","23,412","24,500","25,277","25,105","25,550","26,194","25,946","25,589","26,222","26,761","28,148","28,556","28,964","29,684","31,207","31,803","32,739",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"32,036",15,20,18,36
Minnesota ,MN,27,"9,312","10,229","11,258","12,015","12,649","14,250","15,023","15,810","16,737","17,351","18,744","19,710","20,129","21,306","21,601","23,003","24,144","25,871","27,095","29,273","30,562","32,597",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"42,843","22,109","21,931","22,157","22,410","22,619","24,553","25,064","25,750","26,321","26,241","27,168","27,319","26,927","27,687","27,467","28,659","29,429","30,863","31,729","33,957","34,890","36,309",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"38,557",16,15,10,13
Mississippi ,MS,28,"6,491","7,005","7,842","8,231","8,570","9,377","9,857","10,174","10,799","11,566","12,499","13,117","13,749","14,651","15,426","16,512","17,176","18,079","18,880","19,947","20,555","21,555",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"31,186","15,411","15,019","15,434","15,352","15,325","16,157","16,445","16,570","16,982","17,492","18,116","18,181","18,392","19,039","19,615","20,572","20,936","21,567","22,109","23,138","23,466","24,009",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"28,066",50,50,50,50
Missouri ,MO,29,"8,632","9,306","10,383","11,110","11,808","13,011","13,836","14,471","15,139","15,926","16,928","17,582","18,320","19,327","19,951","21,035","21,832","22,901","24,104","25,419","26,218","27,891",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"36,979","20,495","19,952","20,435","20,722","21,115","22,418","23,084","23,569","23,808","24,086","24,535","24,370","24,507","25,115","25,369","26,207","26,611","27,320","28,226","29,486","29,931","31,067",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"33,279",31,28,31,32
Montana ,MT,30,"8,192","9,038","10,187","10,628","11,054","11,617","11,762","12,350","12,848","13,241","14,569","15,346","16,250","16,859","17,787","17,989","18,546","19,261","20,033","21,459","22,045","23,470",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"35,317","19,450","19,378","20,049","19,823","19,766","20,016","19,624","20,114","20,205","20,025","21,116","21,270","21,738","21,908","22,617","22,412","22,606","22,977","23,459","24,892","25,167","26,143",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"31,784",33,44,46,38
Nebraska ,NE,31,"8,646","9,155","10,579","11,361","11,749","13,040","13,756","14,232","14,947","15,915","16,790","17,948","18,523","19,403","19,836","21,024","22,008","23,853","24,359","25,859","27,017","28,598",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"39,557","20,528","19,629","20,821","21,190","21,009","22,468","22,950","23,180","23,506","24,070","24,335","24,877","24,778","25,214","25,223","26,193","26,826","28,455","28,525","29,996","30,843","31,854",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"35,599",32,24,25,22
Nevada ,NV,32,"10,639","11,679","12,711","13,104","13,600","14,501","15,310","15,992","16,713","18,052","19,165","20,042","20,777","22,099","22,833","23,892","24,914","26,239","27,118","28,624","29,650","30,986",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"36,997","25,260","25,040","25,017","24,441","24,319","24,985","25,543","26,046","26,283","27,301","27,778","27,779","27,793","28,717","29,034","29,766","30,368","31,302","31,756","33,204","33,849","34,514",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"33,296",4,13,14,31
New Hampshire ,NH,33,"8,686","9,816","10,985","11,979","13,015","14,455","15,663","16,819","18,088","19,361","20,235","20,236","21,056","21,861","22,311","23,642","24,845","26,649","27,546","29,664","31,036","34,087",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"44,084","20,623","21,046","21,620","22,343","23,273","24,906","26,132","27,393","28,445","29,281","29,329","28,048","28,167","28,408","28,370","29,455","30,284","31,791","32,257","34,410","35,431","37,969",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"39,673",25,12,6,9
New Jersey ,NJ,34,"10,372","11,676","12,986","13,997","15,027","16,506","17,571","18,618","19,952","21,763","23,235","24,354","24,754","26,270","26,799","27,593","29,022","30,613","32,326","34,212","35,360","38,666",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"50,781","24,626","25,034","25,558","26,107","26,871","28,440","29,315","30,323","31,376","32,914","33,677","33,756","33,114","34,137","34,077","34,377","35,375","36,520","37,855","39,686","40,367","43,069",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"45,700",5,2,2,3
New Mexico ,NM,35,"7,545","8,331","9,286","9,916","10,434","11,233","11,959","12,217","12,638","13,227","14,009","14,823","15,577","16,260","17,039","17,772","18,617","19,289","19,968","21,059","21,461","22,751",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"33,837","17,914","17,862","18,276","18,495","18,658","19,355","19,952","19,898","19,875","20,004","20,305","20,546","20,837","21,130","21,666","22,142","22,692","23,011","23,383","24,428","24,500","25,342",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"30,452",40,47,47,43
New York ,NY,36,"9,819","10,985","12,260","13,321","14,267","15,727","16,761","17,833","18,978","20,720","22,202","23,710","23,685","24,693","25,089","25,807","27,106","28,497","30,012","31,416","32,625","34,630",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"48,821","23,313","23,552","24,129","24,846","25,512","27,098","27,964","29,044","29,845","31,336","32,180","32,863","31,683","32,088","31,902","32,152","33,040","33,995","35,145","36,443","37,245","38,573",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"43,937",9,3,5,5
North Carolina ,NC,37,"7,401","8,183","9,142","9,711","10,500","11,771","12,592","13,393","14,241","15,341","16,454","17,194","17,691","18,886","19,704","20,630","21,615","22,714","23,945","25,301","26,326","27,914",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"35,638","17,572","17,545","17,993","18,112","18,776","20,282","21,008","21,813","22,395","23,201","23,848","23,832","23,665","24,542","25,055","25,702","26,347","27,097","28,040","29,349","30,054","31,093",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"32,073",42,34,30,35
North Dakota ,ND,38,"8,290","7,894","10,300","11,009","11,417","12,268","12,728","13,025","13,589","12,653","14,371","15,866","16,167","17,639","17,696","19,156","19,004","21,279","20,854","23,177","23,502","25,624",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"40,596","19,683","16,925","20,272","20,533","20,416","21,138","21,235","21,214","21,370","19,136","20,829","21,991","21,627","22,921","22,502","23,866","23,164","25,385","24,421","26,885","26,830","28,542",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"36,534",46,39,38,18
