"location","variable","Unit","Date","Value"
"Sweden","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",80374
"Norway","Assault at the national level, count","Number","1/1/2003 12:00:00 AM",2804
"Norway","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",2884
"Norway","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",2961
"Norway","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",3185
"Norway","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",3312
"Norway","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",3279
"Norway","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",3093
"Norway","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",2925
"Norway","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",2837
"Norway","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",2781
"Norway","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",2566
"Lithuania","Assault at the national level, count","Number","1/1/2003 12:00:00 AM",543
"Lithuania","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",454
"Lithuania","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",407
"Lithuania","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",340
"Lithuania","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",287
"Lithuania","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",251
"Lithuania","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",220
"Lithuania","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",245
"Lithuania","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",206
"Lithuania","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",178
"Lithuania","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",211
"Latvia","Assault at the national level, count","Number","1/1/2003 12:00:00 AM",883
"Latvia","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",872
"Latvia","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",1100
"Latvia","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",1549
"Latvia","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",1256
"Latvia","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",1346
"Latvia","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",1215
"Latvia","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",1226
"Latvia","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",1161
"Latvia","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",1325
"Latvia","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",458
"Ireland","Assault at the national level, count","Number","1/1/2003 12:00:00 AM",11792
"Ireland","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",12255
"Ireland","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",12479
"Ireland","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",13737
"Ireland","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",15147
"Ireland","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",16186
"Ireland","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",15580
"Ireland","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",15038
"Ireland","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",14709
"Ireland","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",13566
"Ireland","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",12608
"Iceland","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",56
"Iceland","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",50
"Iceland","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",77
"Iceland","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",79
"Iceland","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",57
"Iceland","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",60
"Iceland","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",74
"Iceland","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",92
"Finland","Assault at the national level, count","Number","1/1/2003 12:00:00 AM",28835
"Finland","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",29782
"Finland","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",30467
"Finland","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",30864
"Finland","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",34614
"Finland","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",34778
"Finland","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",32878
"Finland","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",33063
"Finland","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",40154
"Finland","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",38213
"Finland","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",35503
"Estonia","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",132
"Estonia","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",141
"Estonia","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",145
"Estonia","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",140
"Estonia","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",106
"Estonia","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",103
"Estonia","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",104
"Estonia","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",99
"Estonia","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",99
"Denmark","Assault at the national level, count","Number","1/1/2003 12:00:00 AM",10894
"Denmark","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",11005
"Denmark","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",11117
"Denmark","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",11628
"Denmark","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",11552
"Denmark","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",11203
"Denmark","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",10573
"Denmark","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",10598
"Denmark","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",10373
"Denmark","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",9557
"Denmark","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",9260
"Belarus","Assault at the national level, count","Number","1/1/2003 12:00:00 AM",4032
"Belarus","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",1970
"Belarus","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",1915
"Belarus","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",1726
