"location","variable","Unit","Date","Value"
"Hungary","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",6.48009227
"Hungary","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",6.39115075
"Poland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",8.40733361
"Poland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",7.26493816
"Poland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",7.93098255
"Poland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",8.11283007
"Poland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",8.34433191
"Poland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",8.62535443
"Poland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",9.71218621
"Republic of Moldova","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",17.43517156
"Republic of Moldova","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",17.55643455
"Republic of Moldova","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",13.01183654
"Republic of Moldova","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",15.58903607
"Republic of Moldova","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",11.15403163
"Republic of Moldova","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",13.03447536
"Republic of Moldova","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2005 12:00:00 AM",10.43249182
"Republic of Moldova","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2004 12:00:00 AM",12.30419416
"Republic of Moldova","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",10.46953862
"Republic of Moldova","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",11.51760669
