,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Minnesota ,"18,897","19,049","19,388","19,654","21,546","21,994","22,671","22,944","22,914","23,685","23,733","23,532","24,131","23,848","24,895","25,451","26,413","27,093","28,921","29,955","30,943","31,222","32,077","32,934","33,853","33,291","33,990","34,314","34,485","34,319"
Mississippi ,"13,520","13,807","13,984","13,900","14,736","14,995","15,173","15,476","16,002","16,493","16,547","16,819","17,427","17,900","18,716","19,021","19,542","19,981","20,876","21,164","21,710","22,628","22,908","23,430","24,055","24,806","25,075","25,686","25,675","25,832"
Missouri ,"17,426","17,789","17,952","18,688","19,940","20,446","20,899","21,019","21,323","21,618","21,473","21,778","22,374","22,560","23,239","23,509","24,014","24,696","25,730","26,104","27,106","27,314","28,152","28,818","29,279","28,880","29,479","29,537","29,796","29,862"
Montana ,"17,022","17,702","17,700","17,727","18,014","17,661","18,285","18,195","17,940","18,802","18,979","19,514","19,631","20,288","20,019","20,233","20,516","20,862","22,120","22,315","23,147","24,633","25,039","26,006","26,883","27,192","28,079","28,590","28,464","28,489"
Nebraska ,"17,181","18,406","18,454","18,783","20,321","20,740","20,943","21,129","21,630","21,722","22,171","22,159","22,590","22,560","23,407","23,853","25,294","25,095","26,345","27,087","27,925","28,793","29,402","30,915","31,192","30,997","31,117","31,953","32,247","31,876"
Nevada ,"22,048","21,982","21,672","21,735","22,367","22,730","23,109","23,161","23,971","24,376","24,342","24,612","25,393","25,570","26,333","26,862","27,386","27,855","28,934","29,469","29,943","29,780","30,069","31,041","32,524","33,735","33,778","34,457","33,756","32,597"
New Hampshire ,"18,584","19,057","19,924","20,741","22,269","23,168","24,130","24,995","25,912","25,969","24,971","25,280","25,517","25,369","26,383","27,050","28,220","28,174","30,071","30,748","32,606","32,863","33,898","34,128","35,178","34,536","35,666","36,000","35,759","36,098"
New Jersey ,"21,563","21,978","22,468","23,386","24,861","25,382","26,205","26,822","28,457","29,136","29,333","28,904","29,854","29,672","29,820","30,768","31,547","32,426","33,660","33,960","36,015","36,471","37,362","37,522","38,392","38,153","40,161","40,711","40,720","41,093"
New Mexico ,"16,016","16,216","16,370","16,910","17,607","18,106","18,149","17,906","18,037","18,216","18,453","18,781","19,069","19,498","19,900","20,425","20,631","20,843","21,792","21,805","22,500","24,262","24,477","24,863","25,728","26,242","26,780","27,375","27,789","28,014"
New York ,"20,152","20,472","21,039","21,976","23,408","23,987","24,885","25,281","26,863","27,398","28,235","27,384","27,745","27,460","27,681","28,391","28,971","29,745","30,536","30,942","31,882","31,712","32,532","32,949","34,007","34,601","35,953","37,483","37,521","37,592"
North Carolina ,"15,358","15,739","16,073","16,613","18,024","18,609","19,311","19,639","20,467","20,896","20,992","20,951","21,784","22,194","22,691","23,203","23,789","24,503","25,474","26,145","27,015","27,036","27,268","27,448","28,321","28,545","28,922","29,055","28,669","28,782"
North Dakota ,"14,843","17,856","18,495","18,533","19,261","19,367","19,441","19,467","17,252","18,841","19,932","19,573","20,863","20,344","21,671","20,901","23,019","21,931","24,273","24,185","25,754","26,262","26,998","29,052","28,847","29,681","29,686","31,344","33,268","33,407"
Ohio ,"18,760","18,680","18,818","19,177","20,518","20,996","21,428","21,397","22,025","22,421","22,650","22,389","22,964","23,131","23,887","24,174","24,385","25,252","26,457","26,938","27,576","27,714","28,330","28,876","28,989","28,738","29,212","29,340","29,235","29,525"
Oklahoma ,"17,717","18,512","18,809","18,504","19,348","19,569","19,740","18,981","19,210","19,642","19,640","19,571","20,073","20,224","20,511","20,647","21,135","21,596","22,440","22,920","24,197","25,374","25,463","25,833","27,000","27,435","28,924","28,912","29,577","29,630"
Oregon ,"18,672","18,461","18,058","18,644","19,515","19,728","20,058","20,258","21,131","21,363","21,774","21,613","21,805","22,255","22,978","23,928","24,557","25,027","26,015","26,476","27,330","27,594","28,403","28,796","28,990","28,503","29,447","29,726","29,164","29,517"
Pennsylvania ,"18,715","18,887","19,325","19,650","20,492","21,068","21,607","21,862","22,699","23,398","23,689","23,883","24,185","24,353","24,565","24,873","25,407","25,982","27,502","27,982","28,960","28,998","29,997","30,515","31,076","30,792","31,810","32,111","32,139","32,826"
Rhode Island ,"18,114","18,540","18,996","19,620","20,890","21,537","22,207","22,487","23,788","24,680","24,191","23,643","24,034","24,357","24,488","25,211","25,537","26,185","27,130","27,442","28,225","29,393","30,644","31,543","32,256","32,137","32,999","33,468","33,623","34,289"
South Carolina ,"14,671","14,925","15,075","15,581","16,813","17,262","17,735","18,068","18,785","19,189","19,466","19,446","19,808","20,092","20,679","21,015","21,503","21,983","23,029","23,645","24,689","24,846","25,348","25,638","26,166","26,365","27,023","27,046","26,884","26,899"
South Dakota ,"15,654","16,866","16,803","16,964","18,647","18,445","18,864","19,080","19,030","19,516","20,410","20,451","21,143","21,160","22,284","21,801","23,674","23,402","24,941","25,525","26,600","27,600","27,833","30,003","30,867","30,619","29,991","31,458","32,584","31,564"
Tennessee ,"15,817","16,111","16,317","16,647","17,888","18,370","19,048","19,500","20,252","20,557","20,796","20,963","21,888","22,317","22,885","23,521","23,752","24,177","25,435","25,987","26,745","27,130","27,799","28,305","28,854","28,802","29,211","29,478","29,327","29,258"
Texas ,"18,346","19,145","19,396","19,550","20,526","20,961","20,798","20,365","20,769","20,986","21,433","21,402","22,061","22,306","22,686","23,153","23,790","24,812","26,070","26,714","28,032","28,256","28,299","28,645","29,460","30,175","30,981","31,410","31,442","30,956"
Utah ,"16,248","16,358","16,497","16,905","17,710","17,920","18,058","17,794","17,804","18,091","18,200","18,423","18,648","19,004","19,549","20,108","20,823","21,522","22,525","22,875","23,897","24,596","24,867","24,713","25,052","25,555","26,132","26,559","26,217","25,802"
Vermont ,"16,287","16,738","17,137","17,431","18,457","19,090","19,792","20,338","21,081","21,882","21,521","21,183","21,885","21,963","22,461","22,857","23,335","23,802","25,297","26,216","27,315","28,153","28,839","29,607","30,508","29,910","31,236","31,644","31,590","32,250"
Virginia ,"18,730","18,995","19,543","20,356","21,724","22,348","23,114","23,484","24,377","24,725","24,582","24,618","24,992","25,243","25,687","25,977","26,341","27,091","27,936","28,602","29,829","30,934","31,758","32,543","33,478","33,965","34,928","35,411","35,399","36,158"
Washington ,"20,300","20,369","20,679","21,178","21,791","22,020","22,724","22,686","23,217","23,754","24,185","24,608","25,097","25,267","25,630","25,904","26,734","27,541","29,064","29,808","31,134","31,534","32,090","32,477","33,792","33,207","34,577","35,396","35,262","35,216"
West Virginia ,"15,180","15,189","15,426","15,250","15,961","16,179","16,377","16,347","17,075","17,361","17,891","18,118","18,859","18,993","19,358","19,521","19,877","20,294","21,245","21,495","22,071","23,090","23,862","24,083","24,374","24,249","25,363","25,795","26,326","27,268"
Wisconsin ,"18,798","18,684","18,850","18,953","19,959","20,213","20,743","20,930","21,170","21,812","21,783","21,667","22,408","22,680","23,426","23,748","24,249","24,938","26,479","27,117","27,934","28,454","29,348","29,819","30,131","29,873","30,605","30,856","30,664","30,621"
Wyoming ,"21,808","21,852","21,971","20,273","20,789","21,203","21,097","20,304","20,216","21,264","22,255","22,373","22,647","22,905","23,182","23,363","23,283","24,329","25,839","27,056","28,214","29,910","31,096","32,608","34,048","35,371","38,242","38,733","39,280","37,879"
