"AGE","GEO","SEX","TIME","VALUE","FLAGS","FOOTNOTES"
"Y_LT15","IE","M","2011","499927","",""
"Y15-29","IE","F","2011","475068","",""
"Y_GE85","IE","M","2011","18418","",""
"Y65-84","IE","M","2011","223157","",""
"TOTAL","IE","F","2011","2304382","",""
"Y50-64","IE","M","2011","367622","",""
"Y_GE85","IE","T","2011","58242","",""
"Y50-64","IE","T","2011","734221","",""
"Y30-49","IE","M","2011","693962","",""
"Y30-49","IE","T","2011","1389900","",""
"Y_GE85","IE","F","2011","39824","",""
"Y30-49","IE","F","2011","695938","",""
"Y50-64","IE","F","2011","366599","",""
"TOTAL","IE","T","2011","4574888","",""
"Y_LT15","IE","F","2011","476789","",""
"Y65-84","IE","F","2011","250164","",""
"Y15-29","IE","T","2011","942488","",""
"Y15-29","IE","M","2011","467420","",""
"Y15-29","NO","F","2011","476107","",""
"Y65-84","NO","T","2011","652586","",""
"Y15-29","NO","M","2011","499294","",""
"Y50-64","NO","M","2011","463963","",""
"Y15-29","NO","T","2011","975401","",""
"Y65-84","NO","F","2011","348961","",""
"Y30-49","NO","T","2011","1400965","",""
"TOTAL","NO","M","2011","2495779","",""
"Y_LT15","NO","M","2011","473308","",""
"Y_LT15","NO","F","2011","450465","",""
"Y_GE85","NO","T","2011","113852","",""
"Y50-64","NO","T","2011","913377","",""
"Y_LT15","NO","T","2011","923773","",""
"Y_GE85","NO","F","2011","78055","",""
"TOTAL","NO","T","2011","4979954","",""
"Y30-49","NO","M","2011","719792","",""
"Y30-49","NO","F","2011","681173","",""
"Y65-84","NO","M","2011","303625","",""
"Y50-64","NO","F","2011","449414","",""
"TOTAL","NO","F","2011","2484175","",""
"Y_GE85","NO","M","2011","35797","",""
