iccs,leg_stat,sex,unit,geo\time	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,PER_PRSC,M,P_HTHAB,FI	2.10 	2.41 	2.84 	2.63 	2.30 	3.50 
ICCS0101,PER_PRSC,M,P_HTHAB,FR	6.39 	6.38 	5.77 	: 	: 	: 
ICCS0101,PER_PRSC,M,P_HTHAB,HR	0.00 	0.10 	0.05 	0.05 	0.00 	0.14 
ICCS0101,PER_PRSC,M,P_HTHAB,HU	4.67 	4.06 	5.02 	4.25 	2.46 	2.49 
ICCS0101,PER_PRSC,M,P_HTHAB,IS	0.62 	0.62 	: 	: 	: 	0.62 
ICCS0101,PER_PRSC,M,P_HTHAB,IT	: 	2.41 	2.54 	2.21 	2.74 	2.97 
ICCS0101,PER_PRSC,M,P_HTHAB,LI	: 	0.00 	0.00 	5.63 	: 	: 
ICCS0101,PER_PRSC,M,P_HTHAB,LT	11.69 	12.36 	14.43 	16.07 	16.83 	15.80 
ICCS0101,PER_PRSC,M,P_HTHAB,LU	: 	: 	1.96 	2.81 	1.23 	4.17 
ICCS0101,PER_PRSC,M,P_HTHAB,LV	7.77 	4.81 	3.38 	10.40 	9.37 	: 
ICCS0101,PER_PRSC,M,P_HTHAB,ME	3.26 	: 	: 	: 	: 	: 
ICCS0101,PER_PRSC,M,P_HTHAB,MK	6.19 	6.98 	6.50 	6.61 	7.60 	10.14 
ICCS0101,PER_PRSC,M,P_HTHAB,MT	2.38 	2.41 	0.00 	: 	1.95 	: 
ICCS0101,PER_PRSC,M,P_HTHAB,NO	0.83 	0.84 	1.14 	1.65 	0.75 	0.89 
ICCS0101,PER_PRSC,M,P_HTHAB,PL	: 	: 	3.09 	: 	: 	: 
ICCS0101,PER_PRSC,M,P_HTHAB,PT	2.86 	3.30 	3.11 	2.92 	3.79 	3.55 
ICCS0101,PER_PRSC,M,P_HTHAB,RO	3.11 	2.75 	2.90 	3.98 	3.73 	3.71 
ICCS0101,PER_PRSC,M,P_HTHAB,RS	9.01 	: 	: 	: 	: 	: 
ICCS0101,PER_PRSC,M,P_HTHAB,UKC-L	1.59 	1.78 	2.04 	2.06 	2.22 	2.42 
ICCS0101,PER_PRSC,M,P_HTHAB,UKM	1.90 	2.49 	2.27 	2.09 	2.18 	2.67 
ICCS0101,PER_PRSC,M,P_HTHAB,UKN	2.68 	2.80 	2.26 	3.29 	: 	: 
ICCS0101,PER_PRSC,T,NR,AL	210 	158 	158 	159 	169 	215 
ICCS0101,PER_PRSC,T,NR,AT	554 	647 	640 	693 	769 	571 
ICCS0101,PER_PRSC,T,NR,BA	97 	97 	112 	124 	131 	119 
ICCS0101,PER_PRSC,T,NR,BE	426 	402 	392 	361 	365 	389 
ICCS0101,PER_PRSC,T,NR,BG	105 	144 	124 	147 	138 	142 
ICCS0101,PER_PRSC,T,NR,CY	23 	12 	7 	25 	7 	4 
ICCS0101,PER_PRSC,T,NR,CZ	: 	: 	: 	: 	177 	177 
ICCS0101,PER_PRSC,T,NR,DE	699 	739 	: 	: 	: 	: 
ICCS0101,PER_PRSC,T,NR,DK	30 	54 	49 	48 	78 	42 
ICCS0101,PER_PRSC,T,NR,EE	51 	81 	76 	87 	93 	106 
ICCS0101,PER_PRSC,T,NR,FI	70 	72 	89 	79 	74 	99 
ICCS0101,PER_PRSC,T,NR,FR	2211 	2213 	2056 	: 	: 	: 
ICCS0101,PER_PRSC,T,NR,HR	0 	2 	1 	1 	0 	4 
ICCS0101,PER_PRSC,T,NR,HU	266 	225 	278 	246 	137 	145 
ICCS0101,PER_PRSC,T,NR,IE	: 	: 	: 	: 	: 	67 
ICCS0101,PER_PRSC,T,NR,IS	1 	1 	: 	: 	: 	1 
ICCS0101,PER_PRSC,T,NR,IT	: 	733 	758 	672 	817 	894 
ICCS0101,PER_PRSC,T,NR,LI	: 	0 	0 	2 	0 	1 
ICCS0101,PER_PRSC,T,NR,LT	180 	189 	226 	261 	268 	263 
ICCS0101,PER_PRSC,T,NR,LU	: 	: 	5 	11 	6 	13 
ICCS0101,PER_PRSC,T,NR,LV	82 	54 	34 	121 	102 	112 
ICCS0101,PER_PRSC,T,NR,ME	11 	17 	16 	19 	22 	13 
ICCS0101,PER_PRSC,T,NR,MK	65 	79 	71 	71 	81 	109 
ICCS0101,PER_PRSC,T,NR,MT	5 	5 	1 	: 	4 	: 
ICCS0101,PER_PRSC,T,NR,NO	26 	24 	30 	43 	18 	25 
ICCS0101,PER_PRSC,T,NR,PL	486 	: 	649 	: 	: 	: 
ICCS0101,PER_PRSC,T,NR,PT	164 	179 	175 	157 	205 	192 
ICCS0101,PER_PRSC,T,NR,RO	330 	288 	305 	425 	400 	413 
ICCS0101,PER_PRSC,T,NR,RS	378 	392 	267 	346 	208 	247 
ICCS0101,PER_PRSC,T,NR,SE	67 	75 	90 	92 	106 	93 
ICCS0101,PER_PRSC,T,NR,SI	17 	20 	9 	10 	7 	12 
ICCS0101,PER_PRSC,T,NR,SK	80 	101 	93 	89 	79 	94 
ICCS0101,PER_PRSC,T,NR,UKC-L	506 	560 	621 	630 	654 	704 
ICCS0101,PER_PRSC,T,NR,UKM	56 	67 	68 	62 	62 	73 
ICCS0101,PER_PRSC,T,NR,UKN	25 	26 	22 	35 	: 	: 
ICCS0101,PER_PRSC,T,NR,XK	: 	: 	66 	: 	: 	: 
ICCS0101,PER_PRSC,T,P_HTHAB,AL	: 	: 	5.58 	: 	5.31 	6.78 
ICCS0101,PER_PRSC,T,P_HTHAB,AT	6.55 	7.69 	7.64 	8.30 	9.23 	6.87 
ICCS0101,PER_PRSC,T,P_HTHAB,BA	: 	2.53 	2.91 	3.23 	3.41 	3.10 
ICCS0101,PER_PRSC,T,P_HTHAB,BE	3.82 	3.62 	3.56 	3.33 	3.39 	3.65 
ICCS0101,PER_PRSC,T,P_HTHAB,BG	1.44 	1.97 	1.68 	1.98 	1.85 	1.89 
ICCS0101,PER_PRSC,T,P_HTHAB,CY	2.66 	1.39 	0.83 	3.05 	0.88 	0.52 
ICCS0101,PER_PRSC,T,P_HTHAB,CZ	: 	: 	: 	: 	1.70 	1.71 
ICCS0101,PER_PRSC,T,P_HTHAB,DE	0.85 	0.90 	: 	: 	: 	: 
ICCS0101,PER_PRSC,T,P_HTHAB,DK	0.54 	0.97 	0.88 	0.87 	1.42 	0.77 
ICCS0101,PER_PRSC,T,P_HTHAB,EE	3.86 	6.11 	5.72 	6.53 	6.96 	7.92 
ICCS0101,PER_PRSC,T,P_HTHAB,FI	1.29 	1.33 	1.66 	1.48 	1.39 	1.87 
ICCS0101,PER_PRSC,T,P_HTHAB,FR	3.37 	3.39 	3.16 	: 	: 	: 
ICCS0101,PER_PRSC,T,P_HTHAB,HR	0.00 	0.05 	0.02 	0.02 	0.00 	0.09 
ICCS0101,PER_PRSC,T,P_HTHAB,HU	2.68 	2.27 	2.78 	2.46 	1.37 	1.44 
ICCS0101,PER_PRSC,T,P_HTHAB,IE	: 	: 	: 	: 	: 	1.5 
ICCS0101,PER_PRSC,T,P_HTHAB,IS	0.31 	0.31 	: 	: 	: 	0.32 
ICCS0101,PER_PRSC,T,P_HTHAB,IT	: 	1.23 	1.28 	1.14 	1.38 	1.52 
ICCS0101,PER_PRSC,T,P_HTHAB,LI	: 	0.00 	0.00 	5.57 	0.00 	2.83 
ICCS0101,PER_PRSC,T,P_HTHAB,LT	6.06 	6.29 	7.40 	8.31 	8.42 	8.19 
ICCS0101,PER_PRSC,T,P_HTHAB,LU	: 	: 	0.98 	2.19 	1.22 	2.69 
ICCS0101,PER_PRSC,T,P_HTHAB,LV	4.05 	2.64 	1.64 	5.71 	4.72 	5.11 
ICCS0101,PER_PRSC,T,P_HTHAB,ME	1.77 	2.74 	2.58 	3.07 	3.56 	2.11 
ICCS0101,PER_PRSC,T,P_HTHAB,MK	3.15 	3.84 	3.45 	3.46 	3.95 	5.33 
ICCS0101,PER_PRSC,T,P_HTHAB,MT	1.19 	1.20 	0.24 	: 	0.97 	: 
ICCS0101,PER_PRSC,T,P_HTHAB,NO	0.51 	0.48 	0.61 	0.89 	0.38 	0.53 
ICCS0101,PER_PRSC,T,P_HTHAB,PL	1.28 	: 	1.71 	: 	: 	: 
ICCS0101,PER_PRSC,T,P_HTHAB,PT	1.56 	1.70 	1.66 	1.48 	1.94 	1.82 
ICCS0101,PER_PRSC,T,P_HTHAB,RO	1.65 	1.43 	1.51 	2.09 	1.96 	2.00 
ICCS0101,PER_PRSC,T,P_HTHAB,RS	5.26 	5.43 	3.68 	4.74 	2.84 	3.35 
ICCS0101,PER_PRSC,T,P_HTHAB,SE	0.70 	0.79 	0.96 	0.98 	1.15 	1.01 
ICCS0101,PER_PRSC,T,P_HTHAB,SI	0.83 	0.97 	0.44 	0.49 	0.34 	0.60 
ICCS0101,PER_PRSC,T,P_HTHAB,SK	1.48 	1.87 	1.72 	1.65 	1.47 	1.75 
ICCS0101,PER_PRSC,T,P_HTHAB,UKC-L	0.89 	0.99 	1.11 	1.14 	1.19 	1.29 
ICCS0101,PER_PRSC,T,P_HTHAB,UKM	1.05 	1.26 	1.29 	1.18 	1.19 	1.41 
ICCS0101,PER_PRSC,T,P_HTHAB,UKN	1.37 	1.43 	1.22 	1.95 	: 	: 
ICCS0101,PER_PRSC,T,P_HTHAB,XK	: 	: 	3.68 	: 	: 	: 
ICCS0101,PER_SUSP,F,NR,AL	3 	2 	7 	6 	3 	2 
ICCS0101,PER_SUSP,F,NR,AT	25 	28 	33 	29 	17 	20 
ICCS0101,PER_SUSP,F,NR,BA	5 	6 	3 	: 	: 	: 
ICCS0101,PER_SUSP,F,NR,BE	35 	26 	29 	26 	28 	32 
ICCS0101,PER_SUSP,F,NR,BG	7 	12 	6 	11 	4 	9 
ICCS0101,PER_SUSP,F,NR,CH	3 	7 	7 	8 	19 	: 
ICCS0101,PER_SUSP,F,NR,CZ	24 	21 	19 	34 	28 	17 
ICCS0101,PER_SUSP,F,NR,DE	314 	338 	348 	367 	366 	363 
ICCS0101,PER_SUSP,F,NR,ES	60 	63 	82 	57 	82 	: 
ICCS0101,PER_SUSP,F,NR,FI	14 	10 	18 	18 	22 	19 
ICCS0101,PER_SUSP,F,NR,FR	146 	122 	152 	126 	142 	124 
ICCS0101,PER_SUSP,F,NR,HR	5 	2 	6 	8 	4 	7 
ICCS0101,PER_SUSP,F,NR,HU	55 	67 	71 	75 	37 	44 
ICCS0101,PER_SUSP,F,NR,IS	0 	0 	1 	0 	0 	0 
ICCS0101,PER_SUSP,F,NR,IT	73 	68 	64 	73 	77 	85 
ICCS0101,PER_SUSP,F,NR,LI	0 	0 	2 	1 	0 	: 
ICCS0101,PER_SUSP,F,NR,LT	21 	20 	23 	29 	20 	28 
ICCS0101,PER_SUSP,F,NR,LU	: 	: 	1 	3 	0 	: 
ICCS0101,PER_SUSP,F,NR,LV	21 	16 	7 	55 	33 	: 
ICCS0101,PER_SUSP,F,NR,ME	1 	: 	: 	: 	: 	: 
ICCS0101,PER_SUSP,F,NR,MK	: 	3 	3 	2 	4 	1 
ICCS0101,PER_SUSP,F,NR,NL	345 	355 	380 	350 	355 	240 
ICCS0101,PER_SUSP,F,NR,NO	5 	3 	2 	3 	1 	4 
ICCS0101,PER_SUSP,F,NR,PL	98 	: 	: 	: 	76 	: 
ICCS0101,PER_SUSP,F,NR,PT	5 	8 	4 	10 	8 	6 
ICCS0101,PER_SUSP,F,NR,RS	44 	10 	14 	16 	13 	5 
ICCS0101,PER_SUSP,F,NR,SE	18 	22 	26 	23 	11 	21 
ICCS0101,PER_SUSP,F,NR,SI	1 	2 	2 	1 	2 	0 
ICCS0101,PER_SUSP,F,P_HTHAB,AL	: 	: 	0.50 	: 	0.19 	0.13 
ICCS0101,PER_SUSP,F,P_HTHAB,AT	0.58 	0.65 	0.77 	0.68 	0.40 	0.47 
ICCS0101,PER_SUSP,F,P_HTHAB,BA	: 	0.31 	0.15 	: 	: 	: 
ICCS0101,PER_SUSP,F,P_HTHAB,BE	0.62 	0.46 	0.52 	0.47 	0.51 	0.59 
ICCS0101,PER_SUSP,F,P_HTHAB,BG	0.19 	0.32 	0.16 	0.29 	0.10 	0.23 
ICCS0101,PER_SUSP,F,P_HTHAB,CH	0.07 	0.17 	0.18 	0.20 	0.49 	: 
ICCS0101,PER_SUSP,F,P_HTHAB,CZ	0.45 	0.39 	0.36 	0.64 	0.53 	0.32 
ICCS0101,PER_SUSP,F,P_HTHAB,DE	0.75 	0.81 	0.84 	0.88 	0.88 	0.87 
ICCS0101,PER_SUSP,F,P_HTHAB,ES	0.25 	0.27 	0.35 	0.24 	0.35 	: 
ICCS0101,PER_SUSP,F,P_HTHAB,FI	0.51 	0.36 	0.66 	0.66 	0.81 	0.70 
ICCS0101,PER_SUSP,F,P_HTHAB,FR	0.43 	0.36 	0.45 	0.38 	0.43 	0.38 
ICCS0101,PER_SUSP,F,P_HTHAB,HR	0.23 	0.09 	0.27 	0.36 	0.18 	0.31 
ICCS0101,PER_SUSP,F,P_HTHAB,HU	1.06 	1.29 	1.35 	1.43 	0.70 	0.83 
ICCS0101,PER_SUSP,F,P_HTHAB,IS	0.00 	0.00 	0.63 	0.00 	0.00 	0.00 
ICCS0101,PER_SUSP,F,P_HTHAB,IT	0.24 	0.22 	0.21 	0.24 	0.25 	0.28 
ICCS0101,PER_SUSP,F,P_HTHAB,LI	0.00 	0.00 	10.95 	5.52 	0.00 	: 
ICCS0101,PER_SUSP,F,P_HTHAB,LT	1.31 	1.23 	1.40 	1.71 	1.17 	1.62 
ICCS0101,PER_SUSP,F,P_HTHAB,LU	: 	: 	0.39 	1.19 	0.00 	: 
ICCS0101,PER_SUSP,F,P_HTHAB,LV	1.91 	1.44 	0.62 	4.78 	2.82 	: 
ICCS0101,PER_SUSP,F,P_HTHAB,ME	0.32 	: 	: 	: 	: 	: 
ICCS0101,PER_SUSP,F,P_HTHAB,MK	: 	0.29 	0.29 	0.20 	0.39 	0.10 
ICCS0101,PER_SUSP,F,P_HTHAB,NL	4.07 	4.20 	4.52 	4.18 	4.26 	2.89 
ICCS0101,PER_SUSP,F,P_HTHAB,NO	0.20 	0.12 	0.08 	0.12 	0.04 	0.17 
ICCS0101,PER_SUSP,F,P_HTHAB,PL	0.50 	: 	: 	: 	0.39 	: 
ICCS0101,PER_SUSP,F,P_HTHAB,PT	0.09 	0.15 	0.07 	0.18 	0.15 	0.11 
ICCS0101,PER_SUSP,F,P_HTHAB,RS	1.19 	0.27 	0.38 	0.43 	0.34 	0.13 
ICCS0101,PER_SUSP,F,P_HTHAB,SE	0.38 	0.46 	0.55 	0.49 	0.24 	0.45 
ICCS0101,PER_SUSP,F,P_HTHAB,SI	0.10 	0.19 	0.19 	0.10 	0.19 	0.00 
ICCS0101,PER_SUSP,M,NR,AL	130 	161 	152 	126 	99 	86 
ICCS0101,PER_SUSP,M,NR,AT	150 	165 	149 	151 	138 	110 
ICCS0101,PER_SUSP,M,NR,BA	69 	48 	47 	: 	: 	: 
ICCS0101,PER_SUSP,M,NR,BE	144 	151 	182 	143 	177 	148 
ICCS0101,PER_SUSP,M,NR,BG	51 	73 	73 	89 	98 	121 
ICCS0101,PER_SUSP,M,NR,CH	54 	55 	41 	55 	50 	: 
ICCS0101,PER_SUSP,M,NR,CZ	163 	181 	147 	152 	154 	176 
ICCS0101,PER_SUSP,M,NR,DE	2307 	2237 	2317 	2339 	2488 	2463 
ICCS0101,PER_SUSP,M,NR,ES	301 	443 	471 	399 	481 	: 
ICCS0101,PER_SUSP,M,NR,FI	92 	74 	95 	117 	98 	140 
ICCS0101,PER_SUSP,M,NR,FR	676 	658 	819 	838 	819 	860 
ICCS0101,PER_SUSP,M,NR,HR	34 	49 	45 	49 	35 	61 
ICCS0101,PER_SUSP,M,NR,HU	251 	451 	387 	442 	198 	247 
ICCS0101,PER_SUSP,M,NR,IS	1 	1 	2 	2 	1 	0 
ICCS0101,PER_SUSP,M,NR,IT	1085 	988 	879 	984 	972 	1027 
ICCS0101,PER_SUSP,M,NR,LI	0 	0 	1 	1 	0 	: 
ICCS0101,PER_SUSP,M,NR,LT	174 	179 	217 	241 	267 	259 
ICCS0101,PER_SUSP,M,NR,LU	: 	: 	3 	8 	5 	: 
ICCS0101,PER_SUSP,M,NR,LV	146 	111 	51 	357 	189 	: 
ICCS0101,PER_SUSP,M,NR,ME	10 	: 	: 	: 	: 	: 
ICCS0101,PER_SUSP,M,NR,MK	18 	21 	26 	43 	26 	40 
ICCS0101,PER_SUSP,M,NR,NL	2445 	2840 	3090 	2910 	2410 	1765 
ICCS0101,PER_SUSP,M,NR,NO	22 	25 	30 	41 	24 	24 
ICCS0101,PER_SUSP,M,NR,PL	530 	: 	: 	: 	418 	: 
ICCS0101,PER_SUSP,M,NR,PT	72 	89 	57 	69 	86 	88 
ICCS0101,PER_SUSP,M,NR,RS	110 	103 	120 	124 	151 	158 
ICCS0101,PER_SUSP,M,NR,SE	124 	100 	137 	147 	141 	131 
ICCS0101,PER_SUSP,M,NR,SI	16 	16 	17 	11 	12 	11 
ICCS0101,PER_SUSP,M,P_HTHAB,AL	: 	: 	10.69 	: 	6.25 	5.41 
ICCS0101,PER_SUSP,M,P_HTHAB,AT	3.64 	4.03 	3.65 	3.71 	3.40 	2.72 
ICCS0101,PER_SUSP,M,P_HTHAB,BA	: 	2.56 	2.50 	: 	: 	: 
ICCS0101,PER_SUSP,M,P_HTHAB,BE	2.62 	2.77 	3.37 	2.69 	3.36 	2.83 
ICCS0101,PER_SUSP,M,P_HTHAB,BG	1.44 	2.05 	2.03 	2.46 	2.70 	3.31 
ICCS0101,PER_SUSP,M,P_HTHAB,CH	1.36 	1.40 	1.06 	1.44 	1.32 	: 
ICCS0101,PER_SUSP,M,P_HTHAB,CZ	3.16 	3.51 	2.86 	2.96 	3.01 	3.47 
ICCS0101,PER_SUSP,M,P_HTHAB,DE	5.72 	5.56 	5.78 	5.83 	6.19 	6.12 
ICCS0101,PER_SUSP,M,P_HTHAB,ES	1.31 	1.92 	2.04 	1.74 	2.10 	: 
ICCS0101,PER_SUSP,M,P_HTHAB,FI	3.45 	2.79 	3.60 	4.46 	3.75 	5.39 
ICCS0101,PER_SUSP,M,P_HTHAB,FR	2.13 	2.08 	2.60 	2.68 	2.63 	2.78 
ICCS0101,PER_SUSP,M,P_HTHAB,HR	1.65 	2.38 	2.18 	2.36 	1.69 	2.94 
ICCS0101,PER_SUSP,M,P_HTHAB,HU	5.32 	9.55 	8.16 	9.29 	4.16 	5.18 
ICCS0101,PER_SUSP,M,P_HTHAB,IS	0.62 	0.62 	1.25 	1.25 	0.62 	0.00 
ICCS0101,PER_SUSP,M,P_HTHAB,IT	3.76 	3.44 	3.06 	3.43 	3.40 	3.61 
ICCS0101,PER_SUSP,M,P_HTHAB,LI	0.00 	0.00 	5.59 	5.63 	0.00 	: 
ICCS0101,PER_SUSP,M,P_HTHAB,LT	12.71 	12.94 	15.42 	16.62 	18.12 	17.41 
ICCS0101,PER_SUSP,M,P_HTHAB,LU	: 	: 	1.18 	3.21 	2.04 	: 
ICCS0101,PER_SUSP,M,P_HTHAB,LV	15.76 	11.87 	5.38 	36.77 	19.04 	: 
ICCS0101,PER_SUSP,M,P_HTHAB,ME	3.26 	: 	: 	: 	: 	: 
ICCS0101,PER_SUSP,M,P_HTHAB,MK	1.74 	2.04 	2.52 	4.18 	2.53 	3.90 
ICCS0101,PER_SUSP,M,P_HTHAB,NL	29.43 	34.29 	37.48 	35.47 	29.55 	21.76 
ICCS0101,PER_SUSP,M,P_HTHAB,NO	0.87 	1.00 	1.22 	1.69 	1.00 	1.02 
ICCS0101,PER_SUSP,M,P_HTHAB,PL	2.88 	: 	: 	: 	2.27 	: 
ICCS0101,PER_SUSP,M,P_HTHAB,PT	1.44 	1.77 	1.13 	1.36 	1.70 	1.74 
ICCS0101,PER_SUSP,M,P_HTHAB,RS	3.15 	2.93 	3.40 	3.49 	4.23 	4.41 
ICCS0101,PER_SUSP,M,P_HTHAB,SE	2.60 	2.12 	2.92 	3.16 	3.06 	2.87 
ICCS0101,PER_SUSP,M,P_HTHAB,SI	1.57 	1.57 	1.68 	1.08 	1.20 	1.12 
ICCS0101,PER_SUSP,T,NR,AL	133 	163 	159 	132 	102 	88 
ICCS0101,PER_SUSP,T,NR,AT	175 	193 	182 	180 	155 	130 
ICCS0101,PER_SUSP,T,NR,BA	74 	96 	70 	67 	: 	31 
ICCS0101,PER_SUSP,T,NR,BE	186 	192 	222 	176 	217 	190 
ICCS0101,PER_SUSP,T,NR,BG	58 	85 	79 	100 	102 	130 
ICCS0101,PER_SUSP,T,NR,CH	57 	62 	48 	63 	69 	: 
ICCS0101,PER_SUSP,T,NR,CY	: 	: 	: 	: 	: 	29 
ICCS0101,PER_SUSP,T,NR,CZ	187 	202 	166 	186 	182 	193 
ICCS0101,PER_SUSP,T,NR,DE	2621 	2575 	2665 	2706 	2854 	2826 
ICCS0101,PER_SUSP,T,NR,EL	: 	: 	277 	250 	275 	260 
ICCS0101,PER_SUSP,T,NR,ES	361 	506 	554 	456 	563 	507 
ICCS0101,PER_SUSP,T,NR,FI	106 	84 	113 	135 	120 	159 
ICCS0101,PER_SUSP,T,NR,FR	822 	780 	971 	964 	961 	984 
ICCS0101,PER_SUSP,T,NR,HR	39 	51 	51 	57 	39 	68 
ICCS0101,PER_SUSP,T,NR,HU	306 	518 	458 	517 	235 	291 
ICCS0101,PER_SUSP,T,NR,IE	: 	: 	: 	: 	: 	32 
ICCS0101,PER_SUSP,T,NR,IS	1 	1 	3 	2 	1 	0 
ICCS0101,PER_SUSP,T,NR,IT	1158 	1061 	946 	1061 	1049 	1116 
ICCS0101,PER_SUSP,T,NR,LI	0 	0 	3 	2 	0 	2 
ICCS0101,PER_SUSP,T,NR,LT	195 	199 	240 	270 	287 	287 
ICCS0101,PER_SUSP,T,NR,LU	: 	: 	4 	11 	5 	9 
ICCS0101,PER_SUSP,T,NR,LV	167 	127 	58 	412 	222 	306 
ICCS0101,PER_SUSP,T,NR,ME	11 	: 	: 	: 	: 	: 
ICCS0101,PER_SUSP,T,NR,MK	18 	24 	29 	45 	30 	41 
ICCS0101,PER_SUSP,T,NR,NL	2795 	3205 	3475 	3270 	2880 	2070 
ICCS0101,PER_SUSP,T,NR,NO	27 	28 	32 	44 	25 	28 
ICCS0101,PER_SUSP,T,NR,PL	628 	398 	449 	453 	494 	456 
ICCS0101,PER_SUSP,T,NR,PT	77 	97 	61 	79 	94 	94 
ICCS0101,PER_SUSP,T,NR,RO	367 	403 	362 	437 	447 	512 
ICCS0101,PER_SUSP,T,NR,RS	154 	113 	134 	140 	164 	163 
ICCS0101,PER_SUSP,T,NR,SE	142 	123 	165 	170 	153 	152 
ICCS0101,PER_SUSP,T,NR,SI	17 	18 	19 	12 	14 	11 
ICCS0101,PER_SUSP,T,NR,SK	86 	77 	106 	77 	79 	87 
ICCS0101,PER_SUSP,T,P_HTHAB,AL	: 	: 	5.61 	: 	3.20 	2.78 
ICCS0101,PER_SUSP,T,P_HTHAB,AT	2.07 	2.30 	2.17 	2.16 	1.86 	1.56 
ICCS0101,PER_SUSP,T,P_HTHAB,BA	: 	2.50 	1.82 	1.74 	: 	0.81 
ICCS0101,PER_SUSP,T,P_HTHAB,BE	1.67 	1.73 	2.02 	1.62 	2.02 	1.78 
ICCS0101,PER_SUSP,T,P_HTHAB,BG	0.80 	1.16 	1.07 	1.35 	1.37 	1.73 
ICCS0101,PER_SUSP,T,P_HTHAB,CH	0.71 	0.78 	0.61 	0.81 	0.90 	: 
ICCS0101,PER_SUSP,T,P_HTHAB,CY	: 	: 	: 	: 	: 	3.74 
ICCS0101,PER_SUSP,T,P_HTHAB,CZ	1.78 	1.92 	1.58 	1.78 	1.75 	1.87 
ICCS0101,PER_SUSP,T,P_HTHAB,DE	3.20 	3.15 	3.26 	3.31 	3.48 	3.44 
ICCS0101,PER_SUSP,T,P_HTHAB,EL	: 	: 	2.49 	2.24 	2.46 	2.33 
ICCS0101,PER_SUSP,T,P_HTHAB,ES	0.77 	1.08 	1.19 	0.98 	1.22 	1.11 
ICCS0101,PER_SUSP,T,P_HTHAB,FI	1.95 	1.56 	2.10 	2.52 	2.25 	3.00 
ICCS0101,PER_SUSP,T,P_HTHAB,FR	1.25 	1.19 	1.49 	1.49 	1.49 	1.54 
ICCS0101,PER_SUSP,T,P_HTHAB,HR	0.92 	1.19 	1.19 	1.32 	0.90 	1.58 
ICCS0101,PER_SUSP,T,P_HTHAB,HU	3.09 	5.22 	4.59 	5.16 	2.34 	2.90 
ICCS0101,PER_SUSP,T,P_HTHAB,IE	: 	: 	: 	: 	: 	0.72 
ICCS0101,PER_SUSP,T,P_HTHAB,IS	0.31 	0.31 	0.94 	0.63 	0.31 	0.00 
ICCS0101,PER_SUSP,T,P_HTHAB,IT	1.94 	1.79 	1.59 	1.79 	1.78 	1.90 
ICCS0101,PER_SUSP,T,P_HTHAB,LI	0.00 	0.00 	8.30 	5.57 	0.00 	5.66 
ICCS0101,PER_SUSP,T,P_HTHAB,LT	6.56 	6.63 	7.86 	8.59 	9.01 	8.93 
ICCS0101,PER_SUSP,T,P_HTHAB,LU	: 	: 	0.78 	2.19 	1.01 	1.86 
ICCS0101,PER_SUSP,T,P_HTHAB,LV	8.25 	6.21 	2.80 	19.43 	10.26 	13.96 
ICCS0101,PER_SUSP,T,P_HTHAB,ME	1.77 	: 	: 	: 	: 	: 
ICCS0101,PER_SUSP,T,P_HTHAB,MK	0.87 	1.17 	1.41 	2.19 	1.46 	2.00 
ICCS0101,PER_SUSP,T,P_HTHAB,NL	16.66 	19.16 	20.86 	19.73 	17.47 	12.62 
ICCS0101,PER_SUSP,T,P_HTHAB,NO	0.53 	0.56 	0.65 	0.91 	0.52 	0.59 
ICCS0101,PER_SUSP,T,P_HTHAB,PL	1.65 	1.05 	1.18 	1.19 	1.30 	1.20 
ICCS0101,PER_SUSP,T,P_HTHAB,PT	0.73 	0.92 	0.58 	0.75 	0.89 	0.89 
ICCS0101,PER_SUSP,T,P_HTHAB,RO	1.83 	2.01 	1.79 	2.15 	2.19 	2.48 
ICCS0101,PER_SUSP,T,P_HTHAB,RS	2.14 	1.57 	1.85 	1.92 	2.24 	2.21 
ICCS0101,PER_SUSP,T,P_HTHAB,SE	1.49 	1.30 	1.75 	1.82 	1.65 	1.66 
ICCS0101,PER_SUSP,T,P_HTHAB,SI	0.83 	0.88 	0.93 	0.59 	0.69 	0.55 
ICCS0101,PER_SUSP,T,P_HTHAB,SK	1.59 	1.42 	1.97 	1.43 	1.47 	1.62 
ICCS0101,PER_VICT,F,NR,AL	20 	26 	18 	19 	7 	19 
ICCS0101,PER_VICT,F,NR,AT	68 	74 	69 	66 	56 	39 
ICCS0101,PER_VICT,F,NR,BA	15 	24 	16 	17 	15 	: 
ICCS0101,PER_VICT,F,NR,BG	34 	25 	30 	27 	35 	36 
ICCS0101,PER_VICT,F,NR,CH	32 	17 	23 	26 	27 	: 
ICCS0101,PER_VICT,F,NR,CY	3 	5 	6 	1 	7 	2 
ICCS0101,PER_VICT,F,NR,CZ	50 	48 	44 	53 	38 	44 
ICCS0101,PER_VICT,F,NR,DE	294 	265 	313 	359 	350 	337 
ICCS0101,PER_VICT,F,NR,EE	18 	17 	14 	15 	: 	: 
ICCS0101,PER_VICT,F,NR,EL	50 	39 	32 	34 	25 	33 
ICCS0101,PER_VICT,F,NR,ES	121 	124 	128 	152 	132 	: 
ICCS0101,PER_VICT,F,NR,FI	25 	40 	38 	26 	34 	44 
ICCS0101,PER_VICT,F,NR,HR	21 	18 	21 	32 	24 	24 
ICCS0101,PER_VICT,F,NR,HU	107 	61 	50 	68 	67 	70 
