iccs,leg_stat,sex,unit,geo\time	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,PER_CNV,M,NR,BG	65 	97 	107 	113 	107 	134 
ICCS0101,PER_CNV,M,NR,CH	20 	36 	21 	34 	29 	35 
ICCS0101,PER_CNV,M,NR,CY	18 	8 	2 	11 	5 	3 
ICCS0101,PER_CNV,M,NR,CZ	: 	: 	: 	: 	100 	121 
ICCS0101,PER_CNV,M,NR,DE	472 	510 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,NR,DK	20 	31 	24 	48 	34 	21 
ICCS0101,PER_CNV,M,NR,EE	61 	56 	38 	50 	: 	: 
ICCS0101,PER_CNV,M,NR,ES	84 	75 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,NR,FI	53 	64 	69 	67 	59 	86 
ICCS0101,PER_CNV,M,NR,FR	532 	530 	454 	577 	556 	581 
ICCS0101,PER_CNV,M,NR,HR	44 	41 	41 	31 	45 	42 
ICCS0101,PER_CNV,M,NR,HU	101 	124 	91 	120 	156 	109 
ICCS0101,PER_CNV,M,NR,IS	1 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,NR,IT	: 	379 	330 	482 	597 	600 
ICCS0101,PER_CNV,M,NR,LT	151 	165 	199 	221 	201 	253 
ICCS0101,PER_CNV,M,NR,LV	52 	77 	57 	65 	74 	97 
ICCS0101,PER_CNV,M,NR,ME	31 	6 	6 	4 	28 	: 
ICCS0101,PER_CNV,M,NR,MK	31 	36 	37 	32 	52 	32 
ICCS0101,PER_CNV,M,NR,MT	2 	2 	3 	3 	4 	1 
ICCS0101,PER_CNV,M,NR,NO	22 	24 	22 	27 	23 	17 
ICCS0101,PER_CNV,M,NR,PT	113 	129 	125 	113 	146 	113 
ICCS0101,PER_CNV,M,NR,RO	773 	769 	937 	835 	702 	662 
ICCS0101,PER_CNV,M,NR,SE	130 	121 	124 	149 	136 	138 
ICCS0101,PER_CNV,M,NR,SI	36 	22 	26 	15 	20 	27 
ICCS0101,PER_CNV,M,NR,SK	36 	39 	38 	59 	41 	45 
ICCS0101,PER_CNV,M,NR,UKC-L	287 	324 	320 	328 	356 	415 
ICCS0101,PER_CNV,M,NR,UKM	43 	46 	49 	43 	48 	56 
ICCS0101,PER_CNV,M,NR,UKN	14 	8 	11 	14 	14 	10 
ICCS0101,PER_CNV,M,NR,XK	42 	57 	86 	73 	73 	54 
ICCS0101,PER_CNV,M,P_HTHAB,AT	0.68 	0.83 	0.64 	0.74 	0.42 	0.49 
ICCS0101,PER_CNV,M,P_HTHAB,BA	: 	5.44 	5.49 	: 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,BG	1.83 	2.72 	2.98 	3.13 	2.94 	3.66 
ICCS0101,PER_CNV,M,P_HTHAB,CH	0.50 	0.92 	0.54 	0.89 	0.77 	0.94 
ICCS0101,PER_CNV,M,P_HTHAB,CY	4.28 	1.91 	0.49 	2.75 	1.28 	0.79 
ICCS0101,PER_CNV,M,P_HTHAB,CZ	: 	: 	: 	: 	1.95 	2.39 
ICCS0101,PER_CNV,M,P_HTHAB,DE	1.17 	1.27 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,DK	0.72 	1.12 	0.87 	1.75 	1.24 	0.77 
ICCS0101,PER_CNV,M,P_HTHAB,EE	9.90 	9.06 	6.13 	8.05 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,ES	0.36 	0.32 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,FI	1.99 	2.41 	2.62 	2.55 	2.26 	3.31 
ICCS0101,PER_CNV,M,P_HTHAB,FR	1.68 	1.68 	1.44 	1.84 	1.79 	1.88 
ICCS0101,PER_CNV,M,P_HTHAB,HR	2.14 	1.99 	1.98 	1.49 	2.17 	2.02 
ICCS0101,PER_CNV,M,P_HTHAB,HU	2.14 	2.62 	1.92 	2.52 	3.28 	2.29 
ICCS0101,PER_CNV,M,P_HTHAB,IS	0.62 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,IT	: 	1.32 	1.15 	1.68 	2.09 	2.11 
ICCS0101,PER_CNV,M,P_HTHAB,LT	11.03 	11.93 	14.14 	15.24 	13.64 	17.01 
ICCS0101,PER_CNV,M,P_HTHAB,LV	5.61 	8.24 	6.01 	6.69 	7.45 	9.63 
ICCS0101,PER_CNV,M,P_HTHAB,ME	10.10 	1.96 	1.96 	1.31 	9.21 	: 
ICCS0101,PER_CNV,M,P_HTHAB,MK	3.00 	3.49 	3.59 	3.11 	5.06 	3.12 
ICCS0101,PER_CNV,M,P_HTHAB,MT	0.95 	0.96 	1.45 	1.45 	1.95 	0.49 
ICCS0101,PER_CNV,M,P_HTHAB,NO	0.87 	0.96 	0.89 	1.11 	0.96 	0.72 
ICCS0101,PER_CNV,M,P_HTHAB,PT	2.26 	2.56 	2.47 	2.23 	2.88 	2.23 
ICCS0101,PER_CNV,M,P_HTHAB,RO	7.92 	7.87 	9.53 	8.45 	7.05 	6.59 
ICCS0101,PER_CNV,M,P_HTHAB,SE	2.73 	2.56 	2.64 	3.20 	2.95 	3.02 
ICCS0101,PER_CNV,M,P_HTHAB,SI	3.53 	2.16 	2.56 	1.48 	1.99 	2.74 
ICCS0101,PER_CNV,M,P_HTHAB,SK	1.37 	1.48 	1.45 	2.25 	1.57 	1.72 
ICCS0101,PER_CNV,M,P_HTHAB,UKC-L	1.03 	1.17 	1.16 	1.20 	1.32 	1.55 
ICCS0101,PER_CNV,M,P_HTHAB,UKM	1.67 	1.79 	1.91 	1.69 	1.90 	2.23 
ICCS0101,PER_CNV,M,P_HTHAB,UKN	1.56 	0.90 	1.24 	1.59 	1.60 	1.15 
ICCS0101,PER_CNV,M,P_HTHAB,XK	: 	: 	9.51 	6.55 	6.63 	4.97 
ICCS0101,PER_CNV,T,NR,AL	77 	: 	: 	: 	: 	96 
ICCS0101,PER_CNV,T,NR,AT	33 	38 	29 	33 	20 	26 
ICCS0101,PER_CNV,T,NR,BA	177 	108 	109 	111 	104 	115 
ICCS0101,PER_CNV,T,NR,BG	76 	107 	114 	126 	116 	143 
ICCS0101,PER_CNV,T,NR,CH	22 	40 	27 	39 	36 	40 
ICCS0101,PER_CNV,T,NR,CY	18 	9 	2 	13 	5 	4 
ICCS0101,PER_CNV,T,NR,CZ	: 	: 	: 	: 	111 	136 
ICCS0101,PER_CNV,T,NR,DE	512 	560 	: 	: 	: 	: 
ICCS0101,PER_CNV,T,NR,DK	24 	34 	26 	54 	35 	22 
ICCS0101,PER_CNV,T,NR,EE	69 	59 	40 	53 	: 	: 
ICCS0101,PER_CNV,T,NR,ES	95 	84 	: 	: 	: 	: 
ICCS0101,PER_CNV,T,NR,FI	67 	71 	82 	74 	73 	93 
ICCS0101,PER_CNV,T,NR,FR	584 	583 	511 	657 	624 	661 
ICCS0101,PER_CNV,T,NR,HR	52 	47 	46 	34 	49 	43 
ICCS0101,PER_CNV,T,NR,HU	121 	136 	110 	138 	163 	136 
ICCS0101,PER_CNV,T,NR,IE	: 	20 	20 	16 	: 	: 
ICCS0101,PER_CNV,T,NR,IS	1 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,T,NR,IT	: 	391 	342 	503 	616 	616 
ICCS0101,PER_CNV,T,NR,LI	: 	: 	: 	0 	: 	: 
ICCS0101,PER_CNV,T,NR,LT	173 	188 	217 	237 	213 	276 
ICCS0101,PER_CNV,T,NR,LV	61 	84 	63 	78 	80 	105 
ICCS0101,PER_CNV,T,NR,ME	36 	6 	6 	4 	28 	: 
ICCS0101,PER_CNV,T,NR,MK	33 	38 	39 	34 	54 	33 
ICCS0101,PER_CNV,T,NR,MT	2 	2 	3 	3 	4 	1 
ICCS0101,PER_CNV,T,NR,NO	27 	27 	22 	29 	23 	19 
ICCS0101,PER_CNV,T,NR,PL	: 	349 	351 	359 	344 	345 
ICCS0101,PER_CNV,T,NR,PT	130 	136 	135 	119 	157 	121 
ICCS0101,PER_CNV,T,NR,RO	828 	802 	986 	883 	767 	715 
ICCS0101,PER_CNV,T,NR,RS	125 	120 	133 	139 	106 	119 
ICCS0101,PER_CNV,T,NR,SE	146 	130 	134 	166 	150 	149 
ICCS0101,PER_CNV,T,NR,SI	39 	24 	28 	18 	23 	30 
ICCS0101,PER_CNV,T,NR,SK	41 	44 	43 	60 	46 	50 
ICCS0101,PER_CNV,T,NR,UKC-L	314 	356 	343 	346 	376 	439 
ICCS0101,PER_CNV,T,NR,UKM	47 	48 	53 	49 	52 	60 
ICCS0101,PER_CNV,T,NR,UKN	14 	9 	13 	15 	16 	10 
ICCS0101,PER_CNV,T,NR,XK	43 	59 	90 	76 	77 	56 
ICCS0101,PER_CNV,T,P_HTHAB,AL	: 	: 	: 	: 	: 	3.03 
ICCS0101,PER_CNV,T,P_HTHAB,AT	0.39 	0.45 	0.35 	0.40 	0.24 	0.31 
ICCS0101,PER_CNV,T,P_HTHAB,BA	: 	2.81 	2.84 	2.89 	2.71 	2.99 
ICCS0101,PER_CNV,T,P_HTHAB,BG	1.04 	1.46 	1.55 	1.70 	1.55 	1.90 
ICCS0101,PER_CNV,T,P_HTHAB,CH	0.27 	0.50 	0.34 	0.50 	0.47 	0.53 
ICCS0101,PER_CNV,T,P_HTHAB,CY	2.08 	1.04 	0.24 	1.59 	0.63 	0.52 
ICCS0101,PER_CNV,T,P_HTHAB,CZ	: 	: 	: 	: 	1.06 	1.31 
ICCS0101,PER_CNV,T,P_HTHAB,DE	0.62 	0.68 	: 	: 	: 	: 
ICCS0101,PER_CNV,T,P_HTHAB,DK	0.43 	0.61 	0.47 	0.98 	0.64 	0.40 
ICCS0101,PER_CNV,T,P_HTHAB,EE	5.23 	4.45 	3.01 	3.98 	: 	: 
ICCS0101,PER_CNV,T,P_HTHAB,ES	0.20 	0.18 	: 	: 	: 	: 
ICCS0101,PER_CNV,T,P_HTHAB,FI	1.23 	1.31 	1.53 	1.38 	1.37 	1.75 
ICCS0101,PER_CNV,T,P_HTHAB,FR	0.89 	0.89 	0.79 	1.02 	0.97 	1.03 
ICCS0101,PER_CNV,T,P_HTHAB,HR	1.22 	1.10 	1.07 	0.79 	1.14 	1.00 
ICCS0101,PER_CNV,T,P_HTHAB,HU	1.22 	1.37 	1.10 	1.38 	1.62 	1.35 
ICCS0101,PER_CNV,T,P_HTHAB,IE	: 	0.44 	0.44 	0.35 	: 	: 
ICCS0101,PER_CNV,T,P_HTHAB,IS	0.31 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,T,P_HTHAB,IT	: 	0.66 	0.58 	0.85 	1.04 	1.05 
ICCS0101,PER_CNV,T,P_HTHAB,LI	: 	: 	: 	0.00 	: 	: 
ICCS0101,PER_CNV,T,P_HTHAB,LT	5.82 	6.26 	7.11 	7.54 	6.69 	8.59 
ICCS0101,PER_CNV,T,P_HTHAB,LV	3.01 	4.11 	3.04 	3.68 	3.70 	4.79 
ICCS0101,PER_CNV,T,P_HTHAB,ME	5.80 	0.97 	0.97 	0.65 	4.54 	: 
ICCS0101,PER_CNV,T,P_HTHAB,MK	1.60 	1.84 	1.90 	1.66 	2.64 	1.61 
ICCS0101,PER_CNV,T,P_HTHAB,MT	0.47 	0.48 	0.72 	0.72 	0.97 	0.25 
ICCS0101,PER_CNV,T,P_HTHAB,NO	0.53 	0.54 	0.45 	0.60 	0.48 	0.40 
ICCS0101,PER_CNV,T,P_HTHAB,PL	: 	0.92 	0.92 	0.94 	0.90 	0.91 
ICCS0101,PER_CNV,T,P_HTHAB,PT	1.24 	1.29 	1.28 	1.13 	1.49 	1.15 
ICCS0101,PER_CNV,T,P_HTHAB,RO	4.14 	3.99 	4.88 	4.35 	3.75 	3.46 
ICCS0101,PER_CNV,T,P_HTHAB,RS	1.74 	1.66 	1.83 	1.90 	1.45 	1.62 
ICCS0101,PER_CNV,T,P_HTHAB,SE	1.53 	1.37 	1.42 	1.78 	1.62 	1.62 
ICCS0101,PER_CNV,T,P_HTHAB,SI	1.89 	1.17 	1.37 	0.88 	1.13 	1.49 
ICCS0101,PER_CNV,T,P_HTHAB,SK	0.76 	0.81 	0.80 	1.11 	0.85 	0.93 
ICCS0101,PER_CNV,T,P_HTHAB,UKC-L	0.55 	0.63 	0.61 	0.62 	0.68 	0.80 
ICCS0101,PER_CNV,T,P_HTHAB,UKM	0.88 	0.90 	1.00 	0.93 	1.00 	1.16 
ICCS0101,PER_CNV,T,P_HTHAB,UKN	0.77 	0.49 	0.72 	0.83 	0.90 	0.56 
